keyword,label,status,reason,presentations,zograf,roerich,examples
индия,индия,hidden,слишком общий региональный маркер,181,130,51,Индийское паломничество в сравнительном аспекте | По следам Петербуржца в Индии: путешествие князя Салтыкова | Заметки о роли индийской диаспоры в пропаганде языка и литературы хинди | Сон Урмилы в современной индийской прозе
ригведапратишакхья,ригведапратишакхья,public,предметный термин,1,1,0,Категории описания священной речи в «Ригведапратишакхье»
рикпратишакхие,рикпратишакхие,public,предметный термин,1,1,0,Замечания по формальной стороне Рикпратишакхьи
рис-дэвидс,рис-дэвидс,public,предметный термин,1,1,0,Томас Рис-Дэвидс как основатель Pali Text Society
рисовый,рисовый,public,предметный термин,1,1,0,Ранние китайские версии биографии Будды: сюжет подношения рисовой каши
рисунок,рисунок,public,предметный термин,1,0,1,Визуальная поэзия или поэтический рисунок Рабиндраната Тагора: традиция каллиграфии и фигуры-лампы
риттер,риттер,public,предметный термин,1,0,1,Памятные даты – стимул к новым поискам: 150 лет со дня рождения Павла Риттера и 120 лет со дня рождения Юрия Рериха. (доклад онлайн)
ритуально-мифологический,ритуально-мифологический,public,предметный термин,1,1,0,Непальский Маччхендранатх: ритуально-мифологический контекст
риш,риш,public,предметный термин,1,1,0,О языке и стиле эпических риши
роберто,роберто,public,предметный термин,1,1,0,Из миссионерской истории Индии: Роберто де Нобили
родильный,родильный,public,предметный термин,1,1,0,Ритуальный комплекс родильных обрядов в неварском буддизме
родня,родня,public,предметный термин,1,1,0,«Моя мать и твоя мать – какая родня?» Об обозначениях братьев и сестер и возможностях прадравидийской реконструкции
родственник,родственник,public,предметный термин,1,1,0,Тамильские родственники в общедравидийском контексте: семантика и типология
родственный,родственный,public,предметный термин,1,1,0,О двух родственных джатакаставах в «Лалитавистаре» и «Раштрапалапариприччха-сутре»
рой,рой,public,предметный термин,1,1,0,Интерпретация идей Упанишад у Раммохона Роя и Дебендронатха Тагора
рома,рома,public,предметный термин,1,1,0,Фольклор европейских рома (цыган) и мифы индийских племен
романтизм,романтизм,public,предметный термин,1,1,0,Проблема языка в веданте и европейском романтизме
российско-индийский,российско-индийский,public,предметный термин,1,1,0,Вклад В. С. Воробьева-Десятовского (1927—1956) в развитие российско-индийских культурных связей
рохинтон,рохинтон,public,предметный термин,1,1,0,Община парсов в мультикультурном Бомбее (по произведениям Рохинтона Мистри)
рубрикация,рубрикация,public,предметный термин,1,1,0,Технические приспособления для рубрикации корней в «Дхатупатхе» Панини
рудра-кхандоба,рудра-кхандоба,public,предметный термин,1,1,0,Культ Рудры-Кхандобы в исследованиях Г. Д. Зонтхаймера и его индоевропейские параллели
рудрый,рудрый,public,предметный термин,1,1,0,Образ бога Рудры в Шатарудрии в сравнении с германо-скандинавским богом Одином
рука,рука,public,предметный термин,1,1,0,Музыкальные инструменты в руках богов. К вопросу об иконографических атрибутах в искусстве Индии V—Х вв
руководство,руководство,public,предметный термин,1,0,1,«Парамаартхасара» Абхинавагупты: руководство по обретению «сингулярности» или свидетельство о невозможности бытия Бога (Бытия/Бога)
рукоять,рукоять,public,предметный термин,1,1,0,Тальварная рукоять и ее символика
рупа,рупа,public,предметный термин,1,1,0,Образ птицы чатаки в поэзии бенгальских вайшнавов (на примере Рупы Госвамина)
русь,русь,public,предметный термин,1,1,0,Сказание об Индейском царстве» как источник представлений об Индии в древней Руси
рыбак,рыбак,public,предметный термин,1,0,1,Легенда о рыбаке (на ирландском языке)
ряд,ряд,public,предметный термин,1,0,1,Санскара «посвящение в ученики» (упанаяна): её место и значение в ряду других санскар и в древней разработке стратификации индийского общества
сабля-шамшир,сабля-шамшир,public,предметный термин,1,1,0,Индо-иранская сабля-шамшир из собрания МАЭ
савитереть,савитереть,public,предметный термин,1,1,0,«Другая Савитри»: Сказание о Савитри в «Андхрамахабхарате»
сагничить,сагничить,public,предметный термин,1,0,1,Новый поворот традиции шраута: Сагничит Трисахасра Атиратра Сомаяга 2024 в Западной Бенгалии
сад,сад,public,предметный термин,1,1,0,Пушп-Ватика: Цветущий сад поэзии
садать,садать,public,предметный термин,1,1,0,Сюжет «Повести о Насикете» Садала Мишры в контексте истории прозы хинди
сакета,сакета,public,предметный термин,1,1,0,Восхождение Урмилы в поэме Майтхилишарана Гупты «Сакет»
саккарий,саккарий,public,предметный термин,1,0,1,Восхваление табака в поэме «Пухейилей видутуду» тамильского поэта Сини Саккарей Пулавара
саклата,саклата,public,предметный термин,1,1,0,Окна в иной мир: изобразительные тексты и линия жизни индийской художницы-парси Катаюн Саклат (1938- 2026): антропологический взгляд
сакральность,сакральность,public,предметный термин,1,0,1,Язык жреца – язык поэта. О сакральности речи в древнейших формах санскритской драмы
сало,сало,public,предметный термин,1,1,0,Тантрические парадигмы в игровых системах Востока: сравнительный анализ “Джняна чаупады” и “Салам намшак” сквозь призму индуистской и буддийской тантры
салтана,салтана,public,предметный термин,1,1,0,Индийский эпос «Дхола-Мару» и «Сказка о царе Салтане» А.С.Пушкина
салтыков,салтыков,public,предметный термин,1,1,0,По следам Петербуржца в Индии: путешествие князя Салтыкова
самашраян,самашраян,public,предметный термин,1,1,0,Образ жизни в шри-вишнуизме: самашраяна (панчасамскара) и ее основания
самбандар,самбандар,public,предметный термин,1,1,0,Легенда о поэте-ребёнке. Самбандар: миф и реальность
самбандха,самбандха,public,предметный термин,1,1,0,Язык как источник аргументации (на примере рассуждений о самбандхе)
самбодх,самбодх,public,предметный термин,1,0,1,Трава дарбха и самбодхи Будды
самбхара,самбхара,public,предметный термин,1,1,0,Самбхары в обряде установления жертвенных огней (agnyādheya)
саммелан-янтра,саммелан-янтра,public,предметный термин,1,1,0,Загадка саммелана-янтры в «Куньджитангхриставе» Умапати Шивачарьи
самоистязание,самоистязание,public,предметный термин,1,0,1,Тема «мадаль» (обряд самоистязания) в тамильской поэзии
самоназвание,самоназвание,public,предметный термин,1,0,1,К вопросу о самоназваниях школы махасангхиков-локоттаравадинов
самоопределение,самоопределение,public,предметный термин,1,1,0,Агамический текст как способ самоопределения ведической традиции (на примере «Шива сутры»)
самоповреждать,самоповреждать,public,предметный термин,1,0,1,Философия и практики самоповреждающего поведения в тамильском бхакти (доклад онлайн)
самопознание,самопознание,public,предметный термин,1,1,0,«Семь познающих» (saptapramātāraḥ) в рекогнитивном самопознании (pratyabhijñā) у Абхинавагупты
самосознание,самосознание,public,предметный термин,1,1,0,Об особенностях самосознания представителей «низких каст» в современных условиях
самудраматхан,самудраматхан,public,предметный термин,1,0,1,Очеловечивание божеств в пьесе Ватсараджи «Самудраматхана» (XII вв.)
самхит,самхит,public,предметный термин,1,1,0,Ведийское samudra-: к вопросу о широких водных пространствах в текстах самхит
самьяк,самьяк,public,предметный термин,1,1,0,Златоликие образы Дипанкары Будды и традиция проведения фестиваля Самьяк маха дана в Патане. Шишова-Маретина Ксения Александровна (Санкт-Петербург). Архетип опасной женственности в индуизме
сангие,сангие,public,предметный термин,1,0,1,Тибето-китайские параллели в наименованиях и титулах регентов на примере текста декрета Далай-ламы V о назначении Сангье Гьяцо дэсридом (1679 г.)
сангока,сангока,public,предметный термин,1,0,1,Теория преемственности Дхармы в доктрине «сангоку маппо» в японском буддизме
санграха,санграха,public,предметный термин,1,1,0,Категория санграха в буддийском философском дискурсе
сангхадас,сангхадас,public,предметный термин,1,1,0,История Агададатты в романе Сангхадасы «Странствия Васудевы»
сандаловый,сандаловый,public,предметный термин,1,0,1,Еще раз к вопросу о сандаловой статуе Будды
сандхие-бхаш,сандхие-бхаш,public,предметный термин,1,0,1,"Майтхуна, слияние лотоса и ваджры, или о некоторых особенностях символического языка сандхья-бхаша буддизма ваджраяны"
санкт,санкт,hidden,географический маркер уже вынесен в отдельную фасетку,1,0,1,Юрий Рерих и буддийский храм в Санкт- Петербурге
санкхьяик,санкхьяик,public,предметный термин,1,0,1,Дискуссия между буддистами и санкхьяиками о существовании и природе атмана в разделе «Атмапарикша» «Таттвасанграхи» Шанатаракшиты
санньяса,санньяса,public,предметный термин,1,1,0,"Санньяса и Брахмалока: смерть, социальная или физическая, как опосредующий этап пути к освобождению в адвайта-веданте"
сансар,сансар,public,предметный термин,1,0,1,"Karaṇīya-mettasutta – «Любовь всеобъемлющая», как императив, освобождающий от страданий сансары"
санскара,санскара,public,предметный термин,1,0,1,Санскара «посвящение в ученики» (упанаяна): её место и значение в ряду других санскар и в древней разработке стратификации индийского общества
санскритско-русский,санскритско-русский,public,предметный термин,1,1,0,Параллельный санскритско-русский корпус
саптасварамуртеть,саптасварамуртеть,public,предметный термин,1,0,1,"Шива Саптасварамурти из Пареля. Иконография, интерпретации, параллели"
сарваджнямитра,сарваджнямитра,public,предметный термин,1,1,0,«Гимн Таре» Сарваджнямитры и его тибетские переводы
саркара,саркара,public,предметный термин,1,1,0,Онтология и сотериология «Ананда-сутр» П.Р. Саркара
сасанидский,сасанидский,public,предметный термин,1,0,1,Тюркский каган и сасанидский шаханшах: к вопросу об идеологических заимствованиях древних тюрков у иранцев
сатие-юг,сатие-юг,public,предметный термин,1,1,0,«Век Кроноса» и «Сатья-юга»: два вида «первобытного коммунизма» и античных теорий социогенеза
сатипаттхан,сатипаттхан,public,предметный термин,1,0,1,О значении пал. sutta (p.p. от supati «спать») в медитации осознанности (сатипаттхана)
саттасаи,саттасаи,public,предметный термин,1,1,0,Тема деревни в «Саттасаи»
сатьяграха,сатьяграха,public,предметный термин,1,1,0,Женщины и сатьяграха: взгляд М. К. Ганди
саундарананд,саундарананд,public,предметный термин,1,1,0,История Капилавасту в поэме Ашвагхоши «Саундарананда»
саутрантик,саутрантик,public,предметный термин,1,1,0,О значении термина «саутрантика» в «Абхидхармакоше» Васубандху
сахар,сахар,public,предметный термин,1,1,0,«Сахар в молоке»: Ауто-представления об «индийском» и «персидском» в современной религиозной культуре парсов
сбор,сбор,public,предметный термин,1,1,0,Этнографические сборы В.И. Липского на Цейлоне в начале XX в
свадебный,свадебный,public,предметный термин,1,1,0,«Давай поженимся»: Свадебные ритуалы в неварском буддизме
свапнавасавадатт,свапнавасавадатт,public,предметный термин,1,0,1,Проблема сновидения и «ошибочные действия» в натаке Бхасы «Свапнавасавадатта»
сведение,сведение,public,предметный термин,1,0,1,Немногие сведения о Нилакантхадикшитеграмматисте
свертка,свертка,public,предметный термин,1,1,0,"Развертка, свертка и смысл в индийской философии"
сверхзадача,сверхзадача,public,предметный термин,1,1,0,Найти нормативную этику в традиционных текстах: сверхзадача и её решение мыслителями Бенгальского Возрождения.
светоносность,светоносность,public,предметный термин,1,0,1,Могольская концепция богоизбранности и светоносности и ее визуальное воплощение
свита,свита,public,предметный термин,1,1,0,"«Мудрость незапятнанная, окруженная свитой...». О структуре определения термина «abhidharma» в «Абхидхармакошабхашье» Васубандху"
свобода,свобода,public,предметный термин,1,1,0,«Религия Человека»: свобода и традиция в философствовании Рабиндраната Тагора
связанный,связанный,public,предметный термин,1,0,1,Карма и связанные термины во 2-й патале Калачакра-тантры
связка,связка,public,предметный термин,1,0,1,Связка текст-смысл-мышление в «Артхашастре» Каутильи: уникальность и стандартность
святыня,святыня,public,предметный термин,1,0,1,Буддийские святыни в «Записках» Сюань-Цзана: построение текста
себя,себя,public,предметный термин,1,0,1,Несколько слов о «я» и Адвайте в свете узнавания себя как предельного обладающего в толкованиях Абхинавагупты на «Ишварапратьябхиджня-карике» Утпаладевы
северо-индийский,северо-индийский,public,предметный термин,1,1,0,Кришнаитские коды проповеди северо-индийского бхакти
сезонный,сезонный,public,предметный термин,1,1,0,Сезонный и суточный циклы в санскритской драме (структура санскритской драмы)
секкижара,секкижара,public,предметный термин,1,0,1,"Восхождение на Кайласу. История шайва-бхактов Сундарара и Черамана Перумаля, рассказанная в «Перияпуранам» Секкижара и на фреске храма Брихадишвары в Танджоре"
сексуальность,сексуальность,public,предметный термин,1,1,0,От демонической к человеческой сексуальности? Индо-иранский миф о первобытном инцесте Ями и Ямы и его индоевропейские корни
секта,секта,public,предметный термин,1,1,0,«Они из секты Пифагора»: представления об индуизме трех итальянских купцов второй половины XVI в.
секуляризм,секуляризм,public,предметный термин,1,0,1,Непал: от конфессионального компромисса до секуляризма (Некоторые штрихи истории духовной культуры)
селение,селение,public,предметный термин,1,0,1,Некоторые особенности праздника семи неварских селений юго-западной части Долины Катманду
семантический,семантический,public,предметный термин,1,1,0,О семантических переходах с участием терминов родства в старотамильском языке
семенцов,семенцов,public,предметный термин,1,1,0,К (посмертному) изданию полного перевода (В. С. Семенцова) «Гитабхашьи» Рамануджи на русском языке
серайкел,серайкел,public,предметный термин,1,1,0,"Серайкела, Майюрбхандж, Пурулиа: феномен чхау на плато Чхота Нагпур (Восточная Индия)"
серебряный,серебряный,public,предметный термин,1,0,1,«Жизнь Будды» Ашвагхоши и Серебряный век русской культуры
сесила,сесила,public,предметный термин,1,1,0,Сесил Бендалл как публикатор буддийских письменных памятников
сестра,сестра,public,предметный термин,1,1,0,«Моя мать и твоя мать – какая родня?» Об обозначениях братьев и сестер и возможностях прадравидийской реконструкции
сибирь,сибирь,public,предметный термин,1,1,0,"Вновь найденный ксилограф с санскритским алфавитом в трех графических вариантах, привезенный Д. Мессершмидтом из Сибири в 1727 г"
сидаста,сидаста,public,предметный термин,1,1,0,Вспомнить все: ганджифа и забытая карточная игра «Сидаста» из коллекции А.М. и Л.А. Мервартов
сикионский,сикионский,public,предметный термин,1,0,1,Учение о цвете Ксенократа Сикионского и теория цвето-культурной компетенции чхави Древней Индии
сикким,сикким,public,предметный термин,1,0,1,Некоторые особенности культа Белого старца в Сиккиме. (доклад онлайн)
сила,сила,public,предметный термин,1,1,0,Как Кришна с Горакхой силой мерялись: Столкновение разных мистических течений в творчестве Малика Мухаммада Джаяси
сингулярность,сингулярность,public,предметный термин,1,0,1,«Парамаартхасара» Абхинавагупты: руководство по обретению «сингулярности» или свидетельство о невозможности бытия Бога (Бытия/Бога)
сингха,сингха,public,предметный термин,1,1,0,Интерпретация кровавых событий раздела Индии и Пакистана в романе Кхушванта Сингха «Поезд в Пакистан»
синий,синий,public,предметный термин,1,1,0,Боги «из разряда синих» в предании о дарении чаши в «Лалитавистаре»
синкретизм,синкретизм,public,предметный термин,1,0,1,Синкретизм буддизма и шаманизма Тувы в живописи Шоя Чурука
синкретический,синкретический,public,предметный термин,1,0,1,Sarvajña-bhāṣā — всеведущий и синкретический язык Калачакра-тантры
синтаксис,синтаксис,public,предметный термин,1,0,1,Традиционный индийский комментарий как источник по изучению синтаксиса древнеиндийских языков
синтаксический,синтаксический,public,предметный термин,1,0,1,Синтаксические конструкции с ti и -bhāva в языке пали
синтра,синтра,public,предметный термин,1,1,0,Камень-трава или плод из города Синтры: история одного индийского фитонима
синцзян,синцзян,public,предметный термин,1,0,1,Н.К. Рерих с семьей в Синцзяне в 1926 г
синь,синь,public,предметный термин,1,0,1,Восхваление табака в поэме «Пухейилей видутуду» тамильского поэта Сини Саккарей Пулавара
ситарама-чаритра-дарпать,ситарама-чаритра-дарпать,public,предметный термин,1,1,0,Према Рамаяна и Шри Ситарама-чаритра-дарпана как примеры Рамаян XX века в контексте современной литературы на бходжпури и майтхили
сказ,сказ,public,предметный термин,1,1,0,Сравнительный анализ образов сакрального в тамильских храмовых мифах и в сказах П. П. Бажова
скандальный,скандальный,public,предметный термин,1,1,0,«Город победы» Рушди — ответ «Рамаяне» самого скандального автора 20 столетия
скандх,скандх,public,предметный термин,1,1,0,Фрагмент дискуссии о пудгале в «Катхаваттху» I.1: пудгала и скандхи
скифия,скифия,public,предметный термин,1,0,1,"Скифский язык, топонимы Скифии и Центральной Азии, индоевропейские языки: культурные заимствования из Индии и культур древнего Понта Эвксинского"
складывание,складывание,public,предметный термин,1,0,1,К проблеме складывания сикхского двора и придворной культуры при последних шести гуру
склонность,склонность,public,предметный термин,1,1,0,Склонность к конфликтам в образе Махакашьяпы в буддийских канонических текстах
скороходов,скороходов,public,предметный термин,1,1,0,Дидактические шатаки в литературе телугу (К характеристике жанровых особенностей). 3. Т. Г .Скороходова (Пенза). Интерпретация традиционного индийского текста либеральными мыслителями Бенгальского Возрождения
скрытый,скрытый,public,предметный термин,1,1,0,Скрытое / явное: представления о знании у племенных народов Южной Карнатаки
скульптурный,скульптурный,public,предметный термин,1,1,0,Заметки о структуре расположения скульптурных изображений в храмовых комплексах согласно «Агни-пуране»
слава,слава,public,предметный термин,1,1,0,Индийские памятники героям в сравнительном освещении (К вопросу о материальном соответствии поэтической формуле «непреходящая слава»)
следовать,следовать,public,предметный термин,1,1,0,Следуя воле звезд: Индийская астрология и практика предсказаний стихийных бедствий
слияние,слияние,public,предметный термин,1,0,1,"Майтхуна, слияние лотоса и ваджры, или о некоторых особенностях символического языка сандхья-бхаша буддизма ваджраяны"
словарь-тезаурус,словарь-тезаурус,public,предметный термин,1,1,0,Опыт построения словаря-тезауруса древнеиндийской лингвистической терминологии (на материале грамматики Панини)
словацкий,словацкий,public,предметный термин,1,1,0,Образ Индии в словацкой литературе XIX в
словесный,словесный,public,предметный термин,1,1,0,Словесные фигуры и принцип «непрямого высказывания» (вакрокти) в средневековой поэтике
словообразование,словообразование,public,предметный термин,1,0,1,Словослияние в куллуи как способ словообразования
словослияние,словослияние,public,предметный термин,1,0,1,Словослияние в куллуи как способ словообразования
словоформа,словоформа,public,предметный термин,1,1,0,Синтез глагольной словоформы в грамматике Панини
сложный,сложный,public,предметный термин,1,1,0,Синтез сложных слов tatpuruṣa и karmadhāraya в грамматике Панини
слой,слой,public,предметный термин,1,1,0,О происхождении культурных архаизмов в позднем слое содержания «Махабхараты» (на примере темы воинских братств)
служение,служение,public,предметный термин,1,1,0,"Одержимость, служение и лицедейство. Традиции Bhoota-kolam и Theyyam Тулунаду"
случай,случай,public,предметный термин,1,0,1,Рецепция тантрического текста в совеременной культуре: случай Аллена Гинзберга
слышать,слышать,public,предметный термин,1,1,0,Санскритское upa-śru-: «слышать» или «вслушиваться»? Об одном древнеиндийском способе гадания
смех,смех,public,предметный термин,1,0,1,Смех в традиции древнеиндийского театра (по материалам Натьяшастры)
снатака,снатака,public,предметный термин,1,0,1,Снатака в древнеиндийском ритуале и тексте
снова,снова,public,предметный термин,1,1,0,И снова о переводах Р. Тагора
собака,собака,public,предметный термин,1,1,0,К авестийско-ведийским параллелям о собаке
событие,событие,public,предметный термин,1,1,0,Интерпретация кровавых событий раздела Индии и Пакистана в романе Кхушванта Сингха «Поезд в Пакистан»
совеременный,совеременный,public,предметный термин,1,0,1,Рецепция тантрического текста в совеременной культуре: случай Аллена Гинзберга
совершенный,совершенный,public,предметный термин,1,1,0,Концепция совершенного человека в творчестве народных певцов – баулов
совместный,совместный,public,предметный термин,1,0,1,Ю.М. Парфионович: штрихи жизненного пути. Парфионович – продолжатель исследований Ю.Н. Рериха в области тибетологии. Совместная деятельность Ю.М. Парфионовича и В. С. Дылыковой по изучению и переводу «Калачакра-тантры». И.В. Григорьев. Ю.М. Парфионович и будущее отечественной буддологии
согласный,согласный,public,предметный термин,1,1,0,Вытеснение согласного во избежание возникновения тяжелой группы трех шумных согласных в индоиранском
содержательный,содержательный,public,предметный термин,1,1,0,"Содержательное обоснование порядка в перечне прамей (Ньяя-сутра, Ньяя-бхашья)"
сожжение,сожжение,public,предметный термин,1,0,1,Миф о сожжении Трипуры на перекрестках ведийской и эпической традиции
созвездие,созвездие,public,предметный термин,1,1,0,Лунные созвездия (nakṣatras) и традиция имянаречения в Древней Индии H. Urbańska. Concept of maya in Darśana Mala of Narayana Guru
сок,сок,public,предметный термин,1,1,0,Раса как сок поэзии
сокровище,сокровище,public,предметный термин,1,0,1,"Семь сокровищ чакравартина и их пространственная локализация (палийский канон, «Артхашастра»)"
сокрытие,сокрытие,public,предметный термин,1,1,0,Способы сокрытия мантр в тантрических текстах
сома,сома,public,предметный термин,1,1,0,"Сура vs. сома в жертвоприношении Саутрамани: мифы, ритуальные действия, мантры"
сомаяга,сомаяга,public,предметный термин,1,0,1,Новый поворот традиции шраута: Сагничит Трисахасра Атиратра Сомаяга 2024 в Западной Бенгалии
сонгцэн-гампо,сонгцэн-гампо,public,предметный термин,1,1,0,"О гимне Авалокитешваре, приписываемом тибетскому царю Сонгцэн-гампо"
сонет,сонет,public,предметный термин,1,0,1,Чувство времени (венок сонетов)
сонм,сонм,public,предметный термин,1,0,1,Некоторые типичные моменты появления сонма божеств в Непале
соответствие,соответствие,public,предметный термин,1,1,0,Индийские памятники героям в сравнительном освещении (К вопросу о материальном соответствии поэтической формуле «непреходящая слава»)
сор,сор,public,предметный термин,1,1,0,"Ранние священные тексты на соранг-сомпенг как ключ к истории создания культа «Матар Баном» у племени сора (южные мунда, Орисса)"
соранг-сомпенг,соранг-сомпенг,public,предметный термин,1,1,0,"Ранние священные тексты на соранг-сомпенг как ключ к истории создания культа «Матар Баном» у племени сора (южные мунда, Орисса)"
составлять,составлять,public,предметный термин,1,1,0,Новый роман Салмана Рушди «Кишот» и его индийская составляющая
сохранить,сохранить,public,предметный термин,1,1,0,Текущие переводческие проекты Фонда «Сохраним Тибет!» и изд-ва «Нартанг»
социально-политический,социально-политический,public,предметный термин,1,1,0,Социально-политический контекст романов Даймонд Шамшера Рана
социально-философский,социально-философский,public,предметный термин,1,0,1,Социально-философские концепции Калачакратантры с некоторыми параллелями в Кашмирском Шиваизме
социовозрастной,социовозрастной,public,предметный термин,1,1,0,Социовозрастная инициация и монашеское посвящение в неварском буддизме
социогенез,социогенез,public,предметный термин,1,1,0,«Век Кроноса» и «Сатья-юга»: два вида «первобытного коммунизма» и античных теорий социогенеза
социоскрипторик,социоскрипторик,public,предметный термин,1,0,1,Письмо в культуре от Бактрии до Индии по материалам многоязычных надписей 3 в. до н. э. – 5 в. н. э. (К проблеме социоскрипторики)
социоскрипторный,социоскрипторный,public,предметный термин,1,0,1,Социоскрипторная ситуация в Древней Индии
спб,спб,public,предметный термин,1,1,0,"Научная ценность труда И.П.Минаева «Буддизм.Исследования и материалы» (СПб.,1887)"
спбгу,спбгу,public,предметный термин,1,1,0,Коллекция индийских рукописей рукописного фонда библиотеки СПбГУ
специальный,специальный,public,предметный термин,1,1,0,Проблема интерпретации специальной санскритской терминологии: термин адхьякша в индийской традиции
спорить,спорить,public,предметный термин,1,1,0,Зачем спорили хэшан Махаяна и Камалашила?
способность,способность,public,предметный термин,1,1,0,Форма смыслового глагола в модальных конструкциях возможности/способности в хинди
спхотавад,спхотавад,public,предметный термин,1,1,0,Критика Шанкарой доктрины спхотавады
спхотасиддх,спхотасиддх,public,предметный термин,1,1,0,Концепция спхоты в «Спхотасиддхи» Манданамишры
сравнивать,сравнивать,public,предметный термин,1,1,0,Как сравнивать индийскую и западную эпистемологию? Опыт создания методологии компаративного исследования
сражение,сражение,public,предметный термин,1,1,0,Родство по крови и родство по духу: М. К. Ганди о мотивах отказа Арджуны от сражения
среда,среда,public,предметный термин,1,1,0,"Огонь, вода и память: погребальные практики сикхов в мультикультурной среде"
среднеазиатский,среднеазиатский,public,предметный термин,1,1,0,Несколько этимологий арготических слов среднеазиатских цыган на фоне дискуссий последнего полувека об истории цыган
средневековье,средневековье,public,предметный термин,1,0,1,Смена парадигмы? Числовые «коды» в структуре индийских математических сочинений древности и средневековья
стадия,стадия,public,предметный термин,1,1,0,Стадии пути к освобождению по «Найшкармья-сиддхи» (I.52) Сурешвары
стадо,стадо,public,предметный термин,1,1,0,О быках и людях (Образ «Стада» в скотоводческом эпосе Южной Индии)
сталь-гольштейн,сталь-гольштейн,public,предметный термин,1,1,0,А.А. Сталь-Гольштейн как участник научно-издательской серии «Bibliotheca Buddhica»
стандартность,стандартность,public,предметный термин,1,0,1,Связка текст-смысл-мышление в «Артхашастре» Каутильи: уникальность и стандартность
